MR-POMDP,SR-POMDP,Placebo
5930.644443,4872.734037,5472.526963
1925,2726,2492
2904,3640,3890.132539
946,1976,4891.290181
1743,1850,2461
2850,3024,4740.668944
572,3475,4711.630767
675,5040,4494.844934
1590,609,912
3240,2398,4804.875527
4530,1456,2754
3330,3483,1218
3003,3933,2002
1247,1200,3556.220933
3297,1188,5284.194881
1856,560,5873.729414
2260,2784,3497.478439
2616,2059,3024
2760,1950,4509
1920,696,1140
1300,3542,2829
2520,1189,4926.364707
4640,2304,5364.673344
3304,1600,4032
2900,4482,1066
3339,1824,4339.554549
780,2075,1173
1380,740,4844
4050,3375,3454.157525
3402,3969,5203.155587
1740,2688,2592
2117,1620,5704.902839
3915,3120,4877.196158
1392,2185,1080
3186,3016,792
588,1470,5192.419208
4727,1034,1104
1456,2200,3841
2640,4452,3951.047864
920,3013,6186.941973
3696,2640,3652
825,3888,4873.505463
2484,1653,3276
2075,2850,3504
1798,3725,3668
3500,2295,6692.058106
1160,2668,6283.239626
1748,1189,3744
3150,1750,2088
2544,1638,1474
4116,4648,4100
1075,3174,4952.986913
1326,4275,4919.177968
3388,3591,1218
3650,2310,3775
3050,3024,1974
2480,1050,5358.403567
4394,1392,6754.000142
2997,3780,3160
4104,1890,1980
2820,1449,3476
1040,1820,851
3915,2980,2125
3280,2523,4211.979443
1400,1575,1560
3234,2025,2511
2226,3429,5261.219625
2346,966,7110.678211
1180,3775,1863
3654,2444,5587.701878
2352,1568,3225
4410,820,1456
3016,2850,1404
3744,1008,4670.142602
1125,3016,3542
1562,1218,3795
4175,1917,3180
1014,1827,5490.375692
3556,2291,3432
2784,1518,1638
884,3550,4368
4160,3648,4202.070323
756,3887,2646
3456,3024,3593.789193
805,2926,5367.355669
2324,3784,3256
1222,4032,3068
609,1073,3623.536461
1176,2262,5804.967933
4110,1480,4406.75885
3198,3996,5067.703831
3420,1380,4636.114401
2970,1920,3473
3720,2470,4676.006104
3243,3140,2424
3216,2670,4645.852472
918,2400,3642.999799
725,3289,4282.668007
1254,680,5515.456326
1176,4025,1491
1403,2291,2525
3703,2016,2464
2520,2472,4712.844566
1809,2500,3934.877881
2250,850,3612
1118,2480,4395.540323
2712,1817,920
810,2940,4643.053169
3216,860,3848
4470,1856,3775
651,3219,1953
1725,1672,936
928,1144,3666.98823
1820,3180,4455.311857
748,3264,2492
1215,1488,4883.210037
1659,2046,3874
