MR-POMDP,SR-POMDP,Placebo
5827.863484,2160,5393.599545
1633,1189,3480
3124,2782,4157.415012
840,3120,1150
600,3250,3078
1817,2120,1058
960,1040,814
2760,2751,5256.309893
1260,2275,5331.671551
2928,2781,3752
4263,2295,3332
2225,2576,580
960,810,1769
902,624,3510
2232,2060,6848.880744
2850,868,4400.040898
1140,2500,2910
3288,3624,2304
4060,3565,1378
4590,3427,4885.845937
3699,2001,7071.652824
1265,2210,6161.939527
650,2652,775
1540,1281,3192
462,572,4572.450529
768,2880,6862.716932
2460,2208,3335
2756,1254,5476.412383
2492,2727,600
4553,2244,800
1840,2622,4363.048323
2484,4321,4728.036459
2834,3330,3915
3699,1440,4590.97336
2025,2040,4985.007357
2599,3612,7290.558453
1148,1711,4080
1943,2064,2205
4350,2862,5191.699024
2900,2680,5299.77692
4104,1410,4284
2352,812,2016
3120,3920,1344
1025,726,3683
1534,1680,2289
3432,1440,5263.005542
1380,576,3915
1078,3519,5621.563929
1850,2460,2700
1870,1230,7883.130318
3312,609,1701
506,756,2162
1450,2430,1092
4440,2850,3668
2262,980,3870
2457,2160,4172
1974,2001,4159.447507
2925,2220,2499
506,2938,1564
1892,713,552
2604,3000,506
1848,1050,6342.102083
1276,952,7271.911841
903,2024,4316.397906
3796,1127,7162.677933
2880,2596,2088
3915,1800,2244
1290,4023,4149.987841
3556,1785,820
4060,4158,5148.222261
1364,748,7332.221278
1782,777,6327.771314
4200,1020,4080
2652,2625,6721.640974
2100,1104,3834.937432
1652,2310,2079
1232,2200,2072
3102,2016,2068
1340,3750,2814
3429,1323,4082
1782,2678,5088.859021
1702,2862,4944.140353
3625,4410,2212
1650,816,4023
1350,3059,5953.986511
2592,3125,1161
936,2688,4974.486667
2266,3504,4159.196856
2806,1428,3480
2660,980,2262
2250,3612,4284.727638
1400,2552,2142
2790,1593,5715.090951
819,1012,4796.667707
2583,1587,3837.015384
4620,2475,1239
3432,690,5870.322753
1150,720,560
2080,1617,2408
870,3807,6685.338173
962,2987,2314
792,2500,4204.741597
1276,780,7864.66809
3427,4620,4195.485266
870,2800,3814.540999
2262,2461,6000.105423
2728,1620,5178.035353
3390,1100,3795.637818
1495,2300,4108
1530,2240,3718
2112,2231,6408.417634
1107,3129,1015
3243,3354,5071.484742
1118,725,1403
2620,700,5101.536692
3542,3000,2828
1701,2813,4264.958279
3810,2079,1298
1824,1320,7637.820581
1173,3780,1560
2640,1944,3625
3243,4410,5356.719531
2754,4110,6894.502627
3266,1170,6532.031972
1704,2684,4216.348946
600,1716,3075
3850,3978,4612.31167
2852,792,5931.388252
2511,3132,2680
3045,1408,2660
1679,736,4425.464998
1350,918,6529.205914
1539,2323,1785
1917,1344,7135.095267
2415,4176,4338.635937
2200,3051,3400
2926,2610,4717.830103
4110,2639,7203.183592
1134,2800,5122.588734
2016,1230,7149.382324
945,2480,2910
1430,1736,2268
990,3124,5608.243613
3808,1225,4849.410209
2664,1060,2132
1460,520,5691.599213
2816,2700,1458
2328,1364,2040
2667,2001,5417.088275
2541,1720,2225
1160,3556,7168.824624
2200,1943,7156.267174
3614,2360,4592.36297
3120,3248,1584
2856,2320,3570
1764,2968,4953.326038
2574,1537,1728
1302,1196,6586.801367
2990,3672,900
2850,3825,2000
1988,1342,1200
2200,2132,1449
630,2928,1430
2080,4170,1232
2976,2800,4264.711677
3969,576,5017.284789
2568,2025,860
672,3300,3909.139805
2592,1748,4530
2829,3256,7185.982144
770,2220,5578.494914
1155,1656,6675.707333
1403,1296,1560
4396,1647,2125
2046,3277,720
1612,525,5341.335559
782,1846,2146
2728,1232,4391.940622
1702,624,2860
598,756,2185
1925,2664,3213
3360,1716,667
3528,3861,6604.422872
4437,3770,5338.231442
2392,1320,6404.032321
1456,1464,1326
1491,1566,7538.552594
780,3024,3797.874455
3675,3288,5542.528087
2000,2070,2112
1200,1344,5290.778025
1632,2967,4031.089729
3926,1008,2929
2580,2275,6236.373271
3624,2961,4492.422236
1586,2667,5219.529154
1064,3624,4577.850527
3808,1334,2982
1032,3150,5139.856416
2632,816,6226.816348
1550,2016,4625.704964
609,3335,4944.215811
2072,1870,7648.197506
2790,2840,735
4650,1656,1848
1400,3150,3894.423668
875,1776,5750.287628
3276,3500,1025
3836,3952,3321
3556,1456,4302.30042
1932,1200,6388.828452
3692,3625,1540
1775,2047,6501.512954
3718,2296,888
2400,2200,6979.764215
1218,2928,2900
3588,3322,5306.975508
987,3496,2889
2825,2898,5949.939217
2280,2100,2600
987,1892,2520
3213,2460,7469.533153
2820,1890,672
1992,1860,6970.366024
1800,1710,7518.16654
3014,1485,4435.679114
3243,1044,4667.055338
2548,2010,5529.454469
1400,2784,2751
3750,2222,4234
2800,3640,4470
2016,2156,2835
851,2496,4940.748658
1449,2430,5825.616675
1458,2652,5810.699749
2044,1530,2133
2952,770,3016
4260,3256,1512
3048,1566,5475.321086
2842,864,2553
624,644,4885.898641
2889,1980,3451
3920,1053,5789.864612
3550,4032,2400
3840,2289,3240
3036,2507,3248
2929,2834,6376.822042
1920,3381,3094
4205,2320,775
3724,3322,1740
3120,3420,4320.174294
3120,1792,2808
825,2850,2760
1456,3198,5942.055202
864,1386,5320.310764
4290,3510,3640.166001
1870,1870,4872.347887
1690,1134,3974.775592
2146,2314,2010
3270,2132,7502.802184
3388,1943,5729.821698
3096,2241,1275
693,2079,2233
4004,1200,2680
2140,2744,1690
2938,638,4671.700172
3240,1302,6043.327467
2600,1716,810
3100,1550,2480
2525,812,4275.479394
3724,3276,3976
4350,2552,5801.137546
2970,1701,2520
1131,2750,3315.081069
3429,1680,1281
2225,3168,3225
1971,3150,1725
1575,2940,6816.191527
1836,1491,3538
3648,1148,5562.370619
3969,3161,861
1716,1800,5779.228153
2670,1464,5040.99658
2233,1071,3718
756,3240,1150
484,3618,3922.286826
3930,2187,5762.714762
1140,1896,6557.219435
2100,3836,988
1357,1755,5371.751849
2058,1035,3720
2580,1104,4845.063764
1470,1584,6957.861622
714,2828,986
2380,4110,975
1479,672,7558.735325
3150,2408,7570.01996
1200,1380,5059.480758
2280,3075,6161.822653
2296,980,7127.061878
680,1470,2241
3696,2320,4789.659197
810,2662,2436
1792,2436,5609.427457
1944,1876,3828.134659
2900,3219,624
2961,3000,3707.93286
897,3952,672
3080,748,2332
2592,3406,4680
3875,4118,4512.220236
1173,2800,5777.740477
3576,4082,4980.243155
1200,1035,6230.478322
4379,2050,7317.316046
1518,1430,5847.321224
2175,4320,2618
3213,2484,2340
2260,3105,546
1860,575,2740
2754,3567,5571.630709
2548,3220,3428.612353
2328,2016,1825
3250,2580,6645.257348
2400,1898,5542.903396
2120,1848,5608.782236
2376,2850,1247
1914,2100,3432
1075,460,700
1660,660,5649.829455
672,2684,7167.530479
1769,720,816
726,3540,7231.566716
2088,800,2464
3210,3648,6061.367293
1426,2436,8104.749132
2160,594,4548.328028
1170,2592,6746.930563
3388,4290,5879.14164
1740,1300,3432
2990,2184,3989.479297
4108,713,8082.855328
2673,2675,4200
924,550,6306.67213
2392,836,6098.594397
1060,1080,1020
552,897,5459.406723
3720,3275,5006.203986
4205,2376,7621.774477
1536,1092,2928
2960,2175,1980
4172,2332,3550.170493
2720,1496,3888
696,2576,3504
1612,3125,7419.501055
3775,2146,7486.150977
3270,1288,4564.063626
2226,1020,4567.183928
960,3584,1092
1032,1173,1127
2640,2106,4691.432788
2835,2340,3105
2156,3672,2720
4408,1484,1392
2997,2645,1725
1276,1800,966
2970,1066,1449
756,2727,700
3888,2610,5751.925695
2875,1365,3393
525,3700,1620
3850,3857,6291.217695
2349,3060,3799
3645,3750,6487.449289
1512,2256,5878.279959
2212,1344,1848
2727,2520,5714.56711
2490,1248,7468.024879
1320,3588,5729.894317
2604,1988,4238.930246
1680,3450,5688.256383
3075,4080,924
1420,3335,2260
3322,1776,1456
729,2967,4035.642702
2160,3915,2400
2912,1860,2520
3888,2600,3840
840,957,3451
2688,2204,800
2300,1540,7741.137413
2507,832,1118
2862,630,1160
2112,1590,1472
3312,1281,5273.057331
2940,4031,6309.271237
2772,2310,1798
900,3410,1722
2064,2877,4545.645317
1690,1080,1752
2310,2691,5995.788463
1220,2900,2354
4032,2040,6227.993268
2134,1620,6148.468905
1458,2231,6326.219468
2652,1988,2813
546,3712,7012.985704
2040,884,1584
2625,2392,1128
1682,2001,5230.254301
1827,3537,4137.911726
3770,3915,2480
616,1824,3770
1780,3381,5399.400295
1298,2436,4650.285491
2052,3796,5276.880307
3393,2860,1210
1955,1640,1960
936,4031,6324.015084
1150,1500,5515.132158
1798,3234,1909
1475,1232,858
1334,1792,4336.64335
3003,1280,6265.228627
2256,1944,3588
4140,3564,5900.367612
3591,1364,2508
4060,4260,5484.453044
792,1943,5489.844491
3094,2398,2760
930,1464,2028
3304,910,1780
2856,4020,2120
1170,1972,5918.897108
2727,3451,4732.305964
1320,1326,2940
3016,2472,4311.044685
2639,3393,3690
3775,950,1050
2100,2304,2976
792,918,5408.242405
3807,504,6815.533668
3171,1485,5623.505548
784,840,4740.061811
2340,4292,4961.525583
2360,2016,2134
1632,3096,3473
3090,756,2444
2349,1872,5336.964862
945,3302,1650
4050,2900,5300.762699
620,1150,4498.792793
2236,3700,7227.961385
1824,2928,7160.062247
990,2352,3444
4212,2751,3125
990,1537,2920
3060,1840,2523
3538,1375,5733.302129
1672,1036,2457
3556,676,4740.621331
1722,819,5664.114697
1320,775,3562.857496
648,546,460
1092,1566,4327.043614
2600,567,6094.730709
3250,2310,484
2352,2781,1260
1365,2289,3450
2070,2882,7432.450197
2856,560,3124
1029,2268,3886
720,2054,2484
800,2592,7634.585509
704,2090,6484.505875
1400,2376,3475
3588,3393,1554
2673,3588,4436.261024
2691,2030,1701
2262,1456,5963.290418
1800,2950,2100
3562,1725,5730.523546
2370,2772,3240
2146,3304,2838
638,1020,2583
2948,3915,4921.168905
1015,1170,1342
744,2010,4620
624,2783,5223.624709
2052,960,3306
2304,3456,2816
820,1012,3000
1624,3600,5892.527551
2604,648,5359.571247
1120,1806,6132.719954
902,2912,5058.304558
3304,3427,2730
1036,1953,6942.94027
2400,3289,1150
3600,2760,2112
