MR-POMDP,SR-POMDP,Placebo
2218.766251,2380.971611,3438.939485
1232,1128,1691
1210,2800,1663.69402
688,1444,1804.76695
1162,1258,1605
1938,2016,4531.486502
312,2085,3170.37185
324,2688,2945.321811
689,377,760
1944,1853,2786.519899
2416,728,1326
1221,2580,504
2145,2736,1183
602,1140,1902.662362
2983,792,4648.106868
1280,504,3988.077553
1921,1508,1767.724104
1853,1278,1872
1840,1125,2004
1632,480,722
500,2772,1476
1176,492,3832.265591
2240,1536,2372.365739
1534,960,1728
1700,2490,779
2385,1368,2242.146177
494,1577,612
506,407,2249
1350,2700,2365.540925
2754,2646,3051.580572
1200,1280,1344
1022,648,2655.772012
2565,2400,2952.308801
672,1900,675
1652,2320,462
280,931,2938.523429
3097,846,736
1008,1000,2505
1144,1749,1931.056326
598,2358,2904.710149
2464,1452,2490
627,1782,3175.639204
1564,855,2142
913,1824,2482
806,2682,2358
1875,850,4517.513539
754,1656,2956.125445
836,779,1872
2400,1330,720
1802,1248,1139
2352,2988,3116
430,2484,4024.298775
510,3420,3161.511387
2420,2394,504
1898,1870,2265
2318,1568,1692
1860,900,3808.391641
2197,816,2913.897679
1887,2520,3002
2128,1330,1188
940,1134,2370
520,910,629
2465,1490,935
1804,1740,3609.647121
600,630,780
1540,900,1581
2014,1651,2434.929141
1428,736,3561.349459
944,3020,1035
2016,1786,3941.388936
1176,728,2322
2205,656,780
1872,2280,1080
1716,540,2753.426685
540,1740,3080
1349,754,2805
2839,852,2703
780,1260,2960.56907
1651,1185,2496
2320,858,630
680,2698,1848
2720,2584,2035.593486
396,1690,980
1792,1260,2174.092632
350,1862,3471.402989
1660,2924,2220
470,3360,2006
551,444,2792.91239
1008,1482,3535.430492
1644,1332,2109.495305
2091,1776,3041.043136
1596,690,2066.94084
1089,1360,2265
2170,1615,4035.420991
2256,2512,1919
1608,1691,3812.362875
510,2160,2931.564589
290,2431,1926.426825
1140,408,2413.000239
630,1932,1207
793,869,1010
1771,1080,2240
2160,1648,3354.800144
1072,1500,1806.963616
825,476,1548
774,1612,3652.393295
1356,1185,760
390,2793,3324.588264
2144,860,2664
