MR-POMDP,SR-POMDP,Placebo
2646,2730,1664
1035,902,2678
840,1660,2016
572,3870,4416
4284,2490,5496
4296,864,4048
3400,3294,3335
3564,1000,6240
1500,820,5356
4134,1280,3720
5798,3429,3795
6690,3429,4732
3600,3725,4050
1560,1220,2369
2806,1296,986
2184,858,5635
2520,1450,3600
950,460,3200
1800,900,4698
1975,1539,1350
2808,506,4872
3660,2673,1826
5320,2250,2373
5238,1316,1218
3016,2898,5730
1771,2366,3366
2592,3393,4056
3090,2668,2349
2233,4408,5267
4008,2754,4002
5900,1628,546
6720,5550,4752
3040,4228,1428
1064,2444,3364
4680,1120,4360
5798,2574,4998
4680,2794,1725
6188,1950,2140
3213,725,1725
759,728,4440
2632,1825,1247
864,2492,3294
1326,1863,5100
1978,925,1625
2352,2780,6119
2496,2190,480
4080,5016,3726
2378,1140,4508
3870,2523,1869
3480,3614,5668
5600,987,5850
1350,1056,3486
5010,1036,984
1512,3752,5850
1242,713,4136
1785,1596,4880
2160,1760,4140
4160,1679,4524
3744,2117,6188
3048,1596,4431
5221,1260,5655
5697,2958,1380
4925,1728,4452
2080,5456,4147
4452,1128,5425
1425,576,1659
1925,2240,3650
5478,756,3926
1564,3094,5600
1316,2680,4922
2736,3836,4950
5727,1700,2925
4704,1275,1475
1071,920,7380
2064,1568,4920
1305,1050,6696
3354,2736,5040
700,1200,2750
5400,720,6844
3288,1421,4228
2940,3692,5434
4560,2380,5474
6972,3335,5040
3000,3562,3429
2080,3192,3565
1508,1180,936
4788,2178,4000
4002,2938,4611
2304,1440,756
1725,4959,2300
3096,1960,5040
3432,1125,3444
3159,777,5157
2662,2275,4896
5373,1200,3654
2943,2667,5170
1044,3848,5928
1584,6210,3841
6075,2484,2548
4095,950,3300
2760,2700,2875
840,1775,4650
2726,2247,525
2877,1792,6931
1917,725,675
2380,3576,5060
616,2070,4872
3504,1932,6225
3384,1092,6390
3648,1131,3120
2352,750,3840
1728,1272,1950
5044,1682,4200
3420,950,4350
3887,3475,484
1400,3220,3276
2958,3306,3696
5370,3087,3381
1276,3690,4284
720,2288,6396
897,3375,1518
3920,868,720
2808,3192,5727
5589,2523,5880
5597,2610,5150
3335,3864,1770
720,2756,5258
1800,2850,2596
1014,4025,1012
3432,3250,5640
4725,648,4321
2737,576,4026
3975,2360,5784
1638,1150,6084
5486,1890,1560
1080,2910,4350
5970,1848,2673
4050,1280,638
1450,3094,2912
4172,640,6000
999,546,4230
4242,3090,1176
1872,946,1656
6237,2996,4671
2117,3024,6200
4553,1080,3124
667,1872,4255
3726,1215,4137
3024,1974,5450
5225,1064,903
3476,2000,4515
4320,620,2700
4662,2916,648
3874,3668,2470
6420,5886,3930
1875,3213,4212
3036,3050,3920
1824,2369,3040
5096,1680,3276
2478,1008,2775
1500,1204,3612
1856,1134,4800
2640,4260,4293
1296,1940,580
1050,3336,2980
2025,1760,4094
550,2730,4646
3900,3810,2040
2184,5875,1975
792,2375,5278
6000,3915,6670
4452,1377,864
1400,2825,5448
2016,3248,5760
1911,3364,2220
672,630,1628
2856,3780,4360
3861,2212,4590
2667,2184,6990
2415,1196,3335
2639,2726,4437
2420,4440,5302
900,1870,5775
2484,990,3058
5265,560,4830
5280,2756,650
1840,1296,5994
580,3432,5488
3059,1782,6188
702,4230,5539
2117,2565,528
3900,1612,5460
2394,1650,1840
638,1480,4326
3036,2940,1288
5829,2886,5964
792,1196,4000
3322,4380,3300
4342,2716,1940
4075,2079,3344
2484,930,6003
770,3042,6318
2726,3528,3484
4893,3712,4509
952,3741,3650
7163,1140,5697
3400,728,3410
2730,546,2670
528,2310,2725
1976,3306,1092
5430,2220,1770
3528,1196,4611
1958,1380,891
5808,3690,6960
5313,1008,2457
2616,2200,5050
1071,3618,4950
1350,2712,5267
4424,1656,5427
1518,1104,7410
5910,2575,5460
2640,2430,3080
3000,5124,1265
2725,4023,5850
770,3132,5220
3427,2900,1840
3926,625,1464
1840,4004,6815
3078,4234,5424
6390,1272,5670
1950,1680,740
4300,3300,6580
4575,2418,3920
5832,2120,4368
6873,2093,3289
2184,2530,3654
2538,2880,1512
1058,3666,3451
1300,3192,2040
7230,2691,2580
1869,860,900
2000,728,1440
1617,3016,1785
1440,2952,3168
2146,3388,4239
5825,1426,4495
1533,1104,6720
2646,3978,3390
3425,3375,4715
4416,1794,5520
630,4170,5478
702,2106,4740
4466,1972,4056
6873,3146,6810
805,2325,693
3024,1032,4000
5313,2525,1254
5730,884,621
1378,2125,4209
5252,1856,2970
6870,483,2369
832,1298,3792
4242,3976,3380
1760,3408,3864
1144,2538,2000
1584,1131,6664
1440,2737,3565
5875,2162,4125
3180,1148,5162
4760,3726,896
1820,3699,4980
3040,1890,2997
2376,2480,3960
2664,552,3358
2772,1127,2684
952,3270,2814
783,3538,2640
5800,702,754
6344,2691,6272
2400,2668,1365
1316,3192,5166
4114,4350,4290
4680,1650,957
2750,2574,4212
1050,1474,2100
1848,700,5129
2835,1364,5945
2756,3120,918
546,3072,598
3320,3718,1955
3146,858,1360
4623,2619,4420
2904,3857,4290
4420,2233,5359
1036,1344,3322
6670,588,940
3024,2675,2904
1674,1288,2268
4896,1025,2940
6757,1260,3936
1482,1880,4350
5589,2860,1682
5880,725,2112
4800,2522,1804
1738,2322,1066
4200,3690,780
1140,3082,2640
1836,2150,748
4462,2212,2028
1080,2750,2781
1890,1880,3060
4455,2697,1992
2813,2775,4940
4654,2856,6757
6440,3240,740
600,1357,2324
5070,1170,2378
2838,4560,4175
1620,2204,3596
2025,529,1218
3780,2464,7134
2604,702,5725
2425,2772,6960
3120,3322,903
1600,4020,5616
891,4144,4752
675,2825,3944
2070,3354,3050
5180,546,4760
2016,672,2240
4368,2373,5359
4368,2574,1176
4488,546,2280
6561,4500,4488
4746,1364,720
3990,2760,4872
5496,3080,4475
4255,1771,1222
2484,616,6870
6183,2088,3700
1403,2310,5768
5404,3888,2460
572,3800,2725
825,3960,5400
2025,2916,6075
3969,936,5694
3510,2486,5070
7163,525,5275
1596,1740,5964
4379,3025,1738
4452,3364,2484
5725,2208,1953
2332,4321,2322
5082,2054,2520
1925,3360,6399
4186,2460,1260
4906,2912,740
3078,4466,4050
1368,900,6048
6200,880,3611
2508,3472,5061
4094,1728,5913
4134,3390,4389
1280,1196,2376
4998,2016,4941
1404,1950,2552
2044,1032,5068
2678,3300,2241
5681,1940,836
980,2775,6240
5365,3808,1250
1848,1752,3549
690,1260,1860
4960,2744,1716
1711,4466,1440
832,3312,4077
6058,2047,4553
4347,1608,5575
2100,420,7134
6200,1700,7230
2751,3480,1860
2860,1564,6780
1420,4408,5348
3672,3220,3591
2520,1290,5460
726,1340,1800
2987,2291,4116
2288,2970,3172
6660,3146,3124
3857,2210,5221
1340,1134,5160
6540,2288,2484
3375,988,2300
2662,3796,3510
3140,2754,2288
1404,525,4756
4840,924,1386
5784,1909,3549
2300,1836,5650
1886,3864,1280
3030,1428,3000
1320,820,1672
3300,1240,3657
2407,1742,1014
3300,3105,4945
2889,2575,3264
2970,777,3192
616,6328,1440
2912,2002,5126
1827,1296,580
4600,2691,2030
6561,1104,4350
1484,3484,1679
1743,2793,2247
6723,1110,1140
2700,726,2268
4004,2522,3013
1728,3538,5060
4494,3834,2990
5060,714,2820
3576,651,1305
4160,1740,3828
2160,3672,6120
1479,1350,2541
4872,816,3280
2496,1080,2882
3102,1600,3978
3255,1170,1071
6844,4234,3772
2552,2496,3024
4077,2684,5175
1020,1752,5724
5668,3078,3780
3248,2340,3059
1512,3161,3828
3450,1785,2088
864,550,3591
1200,1896,3240
4980,3538,6776
3888,2040,6815
598,676,609
2548,630,4941
1188,1652,6636
784,1728,4284
4410,2552,1344
990,1200,3864
2415,750,1375
1430,770,3820
4368,888,2016
4340,528,1976
4025,2204,3630
6636,2912,1664
