MR-POMDP,SR-POMDP,Placebo
194,90,244
71,41,120
142,107,156
30,130,46
24,125,114
79,106,46
32,52,37
92,131,217
63,91,225
122,103,134
147,85,119
89,112,29
40,27,61
41,24,130
93,103,209
114,31,173
38,125,97
137,151,96
140,155,53
153,149,190
137,69,210
55,85,195
26,102,31
55,61,152
22,26,182
32,96,227
123,92,115
106,57,246
89,101,30
157,102,40
92,114,198
108,149,188
109,111,135
137,48,173
75,102,215
113,129,236
41,59,136
67,86,105
145,106,161
145,134,181
152,47,153
98,28,96
104,140,56
41,33,127
59,80,109
156,48,191
46,24,135
49,153,201
74,82,90
85,41,243
144,29,63
23,36,94
50,90,52
148,114,131
78,35,129
91,108,149
94,87,162
117,111,119
23,113,68
86,31,23
93,120,22
77,35,235
44,34,222
43,88,155
146,49,247
120,118,72
145,75,102
43,149,165
127,85,41
140,154,187
62,34,246
66,37,198
140,34,136
102,105,224
70,46,155
59,77,77
44,100,74
141,84,94
67,125,134
127,63,157
81,103,163
74,106,165
145,147,79
66,34,149
54,133,218
108,125,43
39,128,217
103,146,181
122,68,145
133,49,78
90,129,159
50,88,102
93,59,236
39,46,168
123,69,158
154,99,59
143,30,233
46,30,28
104,77,86
29,141,217
37,103,89
36,125,164
58,39,249
149,154,171
30,100,166
87,107,245
124,81,155
113,55,174
65,92,158
51,112,143
96,97,213
41,149,35
141,129,220
43,29,61
131,35,220
154,120,101
63,97,175
127,77,59
76,66,228
51,126,78
110,72,125
141,147,179
102,137,211
142,39,200
71,122,153
30,66,123
154,153,157
124,33,178
93,108,134
105,64,95
73,32,164
50,34,211
57,101,85
71,56,243
115,144,151
88,113,136
133,90,151
137,91,225
42,100,202
72,41,246
35,124,97
55,62,81
45,142,177
136,49,185
111,53,82
73,26,204
128,100,54
97,62,102
127,69,219
121,86,89
40,127,238
88,67,221
139,118,194
120,112,66
136,80,119
84,106,188
99,53,72
62,46,217
115,136,45
95,153,100
71,61,60
110,82,63
30,122,65
104,139,44
124,140,174
147,24,186
107,75,43
24,110,154
96,76,151
123,148,226
35,111,172
55,72,243
61,48,60
157,61,85
93,113,24
62,25,242
34,71,74
124,56,179
74,24,110
26,36,95
77,111,119
140,66,29
147,143,227
153,145,200
92,66,227
56,61,51
71,58,236
30,112,157
147,137,203
80,90,88
50,48,168
68,129,163
151,48,101
129,91,210
151,141,182
61,127,212
38,151,208
136,46,142
43,150,177
94,34,214
62,96,175
21,145,181
74,85,242
93,142,35
155,72,84
50,105,155
35,74,224
126,140,41
137,152,123
127,52,157
84,50,195
142,145,77
71,89,229
143,82,37
100,110,213
58,122,145
156,151,186
47,152,107
113,126,215
95,105,104
47,86,84
119,82,229
94,70,24
83,62,224
72,57,226
137,55,156
141,36,176
91,67,173
50,116,131
150,101,146
140,140,149
96,77,105
37,96,205
69,81,230
54,102,224
73,51,79
123,35,104
142,148,56
127,54,180
98,32,111
26,23,191
107,66,119
140,39,244
142,144,100
128,109,120
132,109,116
101,109,248
96,147,119
145,80,31
133,151,60
130,114,185
104,64,104
33,114,92
56,123,232
36,66,197
143,135,165
85,85,162
65,54,157
74,89,67
109,82,228
121,67,247
129,83,51
33,77,77
143,50,134
107,98,65
113,29,197
120,62,217
100,66,30
124,62,124
101,29,172
133,117,142
150,88,208
110,81,126
39,125,151
127,80,61
89,132,129
73,150,69
63,98,204
68,71,122
152,41,226
147,109,41
78,90,177
89,61,167
77,51,143
28,120,50
22,134,169
131,81,204
38,79,225
84,137,38
59,65,174
98,45,124
86,46,192
49,66,224
34,101,34
119,137,39
51,24,229
126,86,230
48,60,190
76,123,225
82,35,218
34,49,83
132,80,173
30,121,87
64,87,212
81,67,167
145,111,26
141,125,165
39,152,24
140,34,106
108,131,156
155,142,167
51,140,201
149,157,193
48,45,232
151,82,226
69,55,217
87,144,119
119,92,90
113,115,26
93,25,137
102,123,231
91,115,155
97,84,73
125,86,240
96,73,174
106,84,203
108,114,43
87,75,143
43,23,28
83,30,211
24,122,213
61,36,34
33,118,238
72,40,112
107,152,193
62,84,241
72,27,151
39,108,224
121,143,217
58,52,156
115,78,169
158,31,244
99,107,150
44,25,187
92,38,184
53,45,51
24,39,224
124,131,199
145,108,239
64,52,122
148,75,66
149,106,159
136,68,144
29,92,146
62,125,247
151,74,223
109,56,198
106,51,206
40,128,39
43,51,49
120,81,157
135,78,115
77,153,136
152,53,48
111,115,75
58,90,42
135,41,69
36,101,35
144,87,195
125,65,117
25,148,54
154,133,216
81,102,131
135,150,242
56,94,224
79,56,88
101,126,248
83,48,246
66,138,213
124,71,160
56,150,191
123,136,33
71,115,113
151,74,52
27,129,156
80,145,100
104,62,84
144,130,128
40,33,119
96,76,32
115,77,235
109,32,43
106,30,40
88,53,64
138,61,197
140,139,238
126,105,62
30,155,82
86,137,203
65,45,73
110,117,229
61,100,107
144,68,231
97,81,206
54,97,240
