MR-POMDP,SR-POMDP,Placebo
2160,1007,2768
3114,1700,3420
2262,2304,1545
1440,4302,2718
2175,1330,576
1358,1452,676
520,2639,264
456,1881,2712
1738,1120,1650
2960,1296,2380
2356,1206,4131
1665,1960,2178
352,374,2916
3224,480,2301
1224,2254,2960
1000,510,1834
1343,1026,847
3952,2196,3045
1044,1125,2262
2544,407,2445
660,1548,1001
1496,1615,1330
855,1270,2716
2000,510,1215
1700,3213,1812
2755,996,2040
756,1176,910
3132,2592,2673
1620,830,2702
1805,384,3260
1095,2368,2054
644,2934,1640
1190,795,3068
3460,1625,2585
1430,1040,2327
1495,1272,3192
780,396,736
496,2561,1845
1634,1376,1452
2057,1180,3961
780,2622,1430
1040,1330,2508
1837,1260,2844
1580,1992,1530
1872,2232,2054
1430,1125,2015
1725,2720,2320
1274,1936,3724
2808,2499,2448
2091,3002,2480
1313,1792,1540
1638,2147,1872
2992,1980,3920
870,2380,2460
962,3100,1270
600,825,660
1952,915,600
682,2394,1364
2596,1564,2282
1102,330,2812
1872,1560,3078
2808,2755,1896
2786,984,4579
480,972,533
462,340,1632
2320,722,4320
900,2470,2410
880,1802,3728
3287,984,518
589,3211,2856
1680,572,1672
1330,1888,384
512,1008,1620
2010,2580,1178
2544,2502,2392
803,1254,3618
1232,2000,3438
602,1650,1976
2544,780,3122
1288,3059,1500
663,2656,1848
864,598,4440
2784,1326,2755
684,1656,1980
1462,2024,765
1428,1767,2134
1400,1170,1785
3211,396,1120
375,1700,3096
2175,2703,4617
2016,2652,4233
1988,792,2380
1134,1560,880
1812,348,2601
1680,3978,264
1749,1536,1920
2160,792,2211
1734,462,3723
1008,2584,960
2601,465,2352
1736,1710,2652
1430,2672,1640
714,330,1620
4104,1344,2365
2528,2261,1870
2232,1692,1738
672,2380,1848
270,1584,3200
700,884,1482
2960,544,1980
1560,696,2370
374,966,2856
3150,612,2550
2080,1584,1958
1530,1972,3042
666,969,510
1177,3465,608
2640,2652,2982
2288,1155,2640
1280,1235,2482
552,2684,3003
1890,1564,2448
1375,2736,2250
2380,1786,3059
3705,945,748
1500,1656,3216
532,2470,1470
440,2576,1376
900,1500,3120
1521,1207,970
1950,2584,2128
3496,882,1408
444,1610,1056
2256,1104,4440
2224,592,3173
1155,2336,2788
658,1485,1460
1520,1526,3392
1290,2700,2422
410,1638,684
559,1584,1540
2736,576,1152
1728,2672,3780
2540,890,2574
2200,2560,3248
2415,640,1360
2412,2408,3500
324,616,1870
1944,1080,2610
1375,1110,3360
2640,1050,2158
4216,1500,3006
1560,3600,1848
589,748,2592
1551,1300,938
1727,688,702
3320,2220,900
728,1344,2728
2384,570,4266
3230,2700,4199
2280,1056,3402
1819,923,920
1705,1610,2096
2254,2499,697
1275,4104,2128
3306,1800,1275
1570,2600,2506
1656,2760,2880
1452,1496,2982
2196,1368,1810
2448,1661,3860
1989,1313,4460
451,988,1620
2453,2010,940
1911,1071,2052
1206,1926,1040
928,470,1751
1540,975,1782
924,1666,4446
2296,774,1460
540,2646,3186
2205,264,2772
385,612,3072
1392,476,363
1105,420,1353
2304,852,3510
1860,2159,3366
1900,1680,1044
1040,735,2769
576,3304,2758
2400,338,1020
350,2465,4180
1232,1536,1104
2304,918,1241
748,493,2112
1529,1498,4080
451,1140,760
656,4313,2192
1536,558,2432
990,476,1650
1653,1972,406
2500,3100,2380
885,3629,1164
780,1425,3636
1890,1400,4380
2324,2660,1617
1840,3180,2197
2355,2448,1230
1900,624,2220
1800,1694,3629
2940,2528,2256
1548,720,2550
730,570,1910
954,1872,3417
612,1404,3298
1375,448,1991
624,1000,2112
288,2295,1470
2074,2304,2418
2322,994,2282
756,702,3675
1482,1320,2132
2432,375,1310
782,1430,3066
924,2640,3536
1896,3553,3870
2448,2505,3056
1331,341,2954
976,1938,3345
1716,1501,988
1836,3315,540
781,656,1890
2448,1162,690
1054,1955,3870
795,1485,2100
1152,1872,2176
816,2720,3068
585,615,1976
1248,1818,2970
1062,1230,1560
2822,2379,1272
425,1111,2431
884,2772,2820
1872,2895,1404
1062,693,2985
1232,1840,2920
2086,1560,1616
3300,1856,3152
1224,1274,2736
2208,2786,2688
2363,2980,1349
1550,1870,1680
1032,2608,1440
2358,1612,3587
1386,1920,2070
1940,2888,760
1875,2489,1199
1870,774,1640
1644,1738,876
2358,2584,1716
2415,592,3774
2033,897,735
1695,1661,2983
912,2158,2250
3400,3287,660
3020,1188,2379
1750,672,2470
2490,1640,4020
3060,570,3620
765,2480,2860
561,1022,2040
510,1624,2180
900,1430,1938
1560,3006,2355
1778,1644,1482
1672,1540,3534
3042,4464,1406
1344,1776,360
2295,2265,3010
1100,1020,952
803,1534,3024
1940,1632,4313
2268,4046,1712
1312,396,1995
494,3280,3024
290,2160,1265
620,910,4029
1695,1026,3340
969,885,972
484,2622,2665
2430,884,1177
1264,1834,4408
1062,2108,2952
840,1152,4840
4014,902,2686
1672,1180,2112
731,2565,3060
1316,1240,1980
2610,533,2595
1344,2250,1264
910,1400,3294
1313,3040,4131
2640,1155,1792
2574,1510,3234
2096,767,2023
1056,882,3400
1520,2880,1530
1088,1834,2028
2736,2272,2790
1368,3940,4880
816,493,3135
1290,1040,968
986,1950,3791
896,680,2387
1575,976,1062
1360,1170,880
3178,1665,4248
1782,2329,2912
330,2134,3486
1160,1752,2430
1155,2550,2040
1938,3200,1672
1640,2850,2720
3706,1984,3720
2370,2505,2262
2432,2484,611
1691,1292,1078
3140,1200,4340
2430,870,1570
1380,1320,1826
512,2635,1204
2550,1122,3781
1140,2356,700
1500,2865,1552
980,390,3400
1771,2608,1520
672,2320,2015
