MR-POMDP,SR-POMDP,Placebo
219,28,170
139,48,103
128,149,179
133,70,138
40,30,128
27,57,145
79,135,160
96,52,180
51,143,27
102,82,216
82,89,90
136,79,153
47,142,159
156,108,156
41,68,127
76,82,177
87,49,224
102,24,203
110,92,194
111,78,134
136,106,208
121,65,136
116,53,186
84,120,139
136,90,104
63,98,145
22,115,54
148,113,73
68,110,186
73,82,201
93,36,153
96,132,188
82,71,140
120,105,71
126,45,56
36,50,124
31,48,199
62,153,38
55,69,184
86,85,28
107,74,201
71,86,156
74,45,158
35,130,141
27,76,34
85,63,194
138,128,169
31,60,149
79,61,145
121,124,96
34,132,201
60,120,162
111,108,151
58,73,161
143,78,126
76,34,219
125,62,197
23,53,217
28,21,143
78,80,210
99,110,161
76,31,128
27,58,72
28,148,65
110,122,123
46,72,173
60,52,141
108,73,163
87,90,21
113,64,113
119,128,142
144,51,133
46,116,43
109,76,217
63,153,65
90,99,184
73,97,140
129,101,150
132,119,117
150,62,195
137,73,29
117,137,52
120,153,69
125,139,123
50,67,79
104,63,172
65,61,39
33,47,116
63,37,173
33,49,155
137,64,196
86,57,177
41,59,95
138,48,177
121,147,34
21,22,206
80,54,22
68,20,83
98,73,179
33,135,217
21,44,218
55,70,56
88,99,145
140,21,39
30,133,190
82,144,177
64,109,211
110,41,210
111,116,60
69,121,74
78,47,171
27,81,137
123,59,191
92,148,185
42,44,178
135,146,63
66,124,146
78,49,80
151,133,151
146,61,135
87,66,41
83,138,45
23,124,67
74,66,196
135,25,140
119,153,175
29,119,30
68,50,125
28,57,188
50,54,59
66,23,78
52,111,155
46,42,141
64,101,152
151,130,181
24,143,149
55,63,87
117,65,95
48,147,211
23,112,102
87,52,141
22,40,166
64,34,188
55,152,136
122,129,143
62,72,50
144,85,203
77,56,142
147,144,45
80,136,136
55,122,174
137,146,157
39,90,126
128,108,154
113,124,70
121,33,97
118,60,40
150,93,132
81,38,90
41,126,200
152,30,148
45,147,35
97,137,163
61,149,208
101,57,78
123,132,99
152,118,186
100,119,35
68,123,219
29,138,195
115,83,180
79,154,152
98,111,193
95,69,183
62,67,24
134,90,185
83,60,146
43,21,34
149,45,96
26,34,187
134,83,96
120,35,174
95,91,186
62,141,151
135,108,201
98,74,153
119,138,53
32,50,192
134,41,176
102,29,160
22,82,57
143,86,26
75,112,208
139,75,142
132,119,219
149,53,224
79,26,90
110,32,157
30,122,189
144,89,69
87,73,179
97,55,153
76,44,155
79,115,168
100,66,201
77,72,177
58,119,78
102,44,149
34,112,98
68,65,178
79,139,85
140,133,190
152,30,179
105,94,187
136,51,150
155,137,217
25,68,198
40,136,85
44,70,223
135,80,135
104,109,143
130,43,144
25,143,165
44,35,45
31,128,198
154,153,170
107,144,152
131,45,48
115,80,127
105,66,43
126,47,190
86,24,189
152,149,44
69,62,98
34,154,95
66,29,139
135,76,35
102,83,28
38,42,152
53,105,85
146,31,165
43,108,52
121,74,145
152,90,150
144,25,101
108,139,135
86,141,178
59,74,51
59,151,145
32,139,112
121,30,201
85,21,143
47,116,46
41,134,186
44,127,177
81,41,178
74,119,55
149,28,66
68,75,78
131,39,133
120,57,154
133,153,145
126,152,200
115,24,182
49,39,198
51,143,188
138,65,82
55,146,162
150,75,24
76,94,71
35,27,147
28,35,150
84,123,87
29,62,173
119,60,35
140,119,124
54,69,57
78,97,177
36,94,156
51,30,64
138,91,204
65,115,53
135,85,201
109,153,87
142,90,189
31,24,127
128,68,118
125,103,181
47,41,67
67,84,129
23,119,104
75,155,143
88,119,32
28,107,167
74,48,197
103,110,210
151,134,178
34,103,91
112,93,188
151,73,107
77,152,169
81,103,118
66,26,135
27,83,204
111,38,155
43,145,159
130,70,220
102,31,145
65,101,185
95,80,23
88,42,81
44,64,106
91,124,85
104,137,72
69,107,203
118,67,158
57,26,136
44,145,150
54,42,192
78,57,115
42,79,165
97,74,134
27,63,185
99,125,78
139,118,115
146,70,175
130,35,128
56,70,195
43,88,35
31,86,196
42,48,148
36,128,116
78,152,33
125,48,143
123,41,204
32,56,121
28,54,156
92,142,25
63,146,137
120,95,42
141,31,179
95,69,138
44,50,217
141,67,222
113,145,49
79,40,54
79,98,83
93,111,152
59,74,135
155,57,119
77,110,127
136,85,31
62,104,64
30,147,134
21,45,128
103,75,40
94,139,100
105,87,226
61,36,48
50,133,43
51,123,164
116,141,165
90,72,142
33,90,200
90,149,146
41,117,194
79,48,218
119,38,46
102,50,190
71,60,129
30,143,207
27,139,37
54,39,208
125,129,73
138,150,60
141,57,71
67,132,27
31,116,129
111,32,72
101,126,149
52,41,156
27,98,143
61,124,148
88,28,173
29,127,177
104,136,103
138,50,35
44,53,142
115,59,96
36,61,35
61,102,62
84,79,172
115,98,139
136,135,177
96,92,163
129,32,72
123,28,27
36,26,160
39,138,157
36,89,168
64,83,144
68,128,69
148,37,128
121,34,179
111,152,132
61,134,65
75,99,91
104,77,186
125,105,217
121,66,27
108,140,54
31,151,22
49,57,116
92,42,130
143,104,162
28,110,106
30,146,135
114,62,157
67,59,153
88,153,75
95,113,170
140,56,172
143,69,152
30,29,109
54,28,162
154,133,150
29,86,118
41,112,37
29,132,165
121,136,206
83,86,118
52,149,160
91,72,64
122,121,80
108,32,31
94,143,117
151,61,102
87,85,155
107,151,137
139,128,40
95,42,65
27,141,225
118,74,152
123,138,179
151,105,110
138,103,89
139,110,153
28,68,145
131,36,153
22,32,173
73,54,92
83,62,146
79,55,147
52,55,119
109,148,158
85,102,30
136,121,24
120,52,113
37,151,214
152,86,141
58,115,25
23,139,99
55,58,96
99,47,66
96,138,151
125,148,175
42,71,186
76,73,68
48,139,85
96,124,151
143,52,144
44,116,177
119,91,211
142,82,43
119,137,196
133,61,143
34,146,59
79,111,25
31,146,66
49,31,78
70,24,177
46,119,71
52,89,177
63,144,151
130,154,32
107,45,34
150,45,160
117,136,99
107,114,205
152,134,169
60,137,183
108,105,187
62,126,149
85,87,97
98,48,79
59,27,203
71,98,212
136,101,78
73,146,84
34,78,67
