MR-POMDP,SR-POMDP,Placebo
201,205,162
137,168,192
57,94,109
84,82,43
36,150,47
60,29,156
170,108,152
58,164,91
80,59,159
51,109,57
134,74,219
69,69,122
161,162,199
33,155,26
162,78,168
59,43,104
109,91,92
24,163,223
142,69,153
76,134,56
129,88,217
170,165,228
162,167,99
98,48,241
140,50,124
168,63,176
36,157,193
73,160,185
152,164,234
137,39,113
126,39,130
141,63,158
28,102,77
146,99,233
96,52,105
42,74,143
71,65,36
83,99,241
151,123,73
123,82,228
67,115,183
133,35,175
112,156,59
29,54,219
113,84,72
164,141,68
97,99,152
102,103,64
61,167,28
129,155,179
164,43,149
49,71,47
91,69,74
171,38,151
170,74,168
24,98,125
109,67,176
73,101,155
140,114,100
104,81,33
44,28,183
54,81,183
61,98,183
125,52,107
143,85,180
36,128,228
34,58,195
114,169,167
134,158,158
145,120,61
174,67,229
31,54,132
122,57,206
70,121,67
115,60,87
77,81,217
128,37,82
106,124,147
116,150,191
137,125,122
150,26,57
103,84,79
118,162,150
110,43,193
86,101,31
116,50,100
156,129,61
46,129,211
96,34,245
163,83,99
109,24,236
113,117,155
137,124,87
151,244,157
126,36,150
34,117,161
80,71,82
83,120,198
70,77,27
110,81,150
124,28,44
34,114,168
119,153,188
92,132,48
112,158,158
166,54,164
130,148,135
29,87,110
114,50,168
25,111,218
169,135,180
124,54,166
32,173,223
109,122,200
92,117,216
150,52,153
41,87,64
39,142,187
49,74,119
135,161,235
92,94,38
171,61,157
84,164,233
28,160,219
166,120,166
125,63,137
169,46,227
39,46,203
73,136,139
97,101,81
46,112,191
99,97,79
121,115,128
145,95,96
28,39,130
168,92,175
109,70,182
71,120,128
54,142,170
87,114,78
71,39,164
32,100,101
66,78,234
131,245,249
122,98,81
32,144,109
37,168,161
113,119,80
99,84,243
32,52,179
122,68,219
95,118,158
174,91,105
164,84,184
103,101,223
107,127,103
109,200,152
40,64,168
136,73,181
172,34,221
150,98,101
118,61,40
60,39,204
115,145,218
30,76,178
135,103,171
128,29,237
25,137,249
141,163,160
98,111,230
67,145,181
77,41,188
67,26,82
157,124,210
117,26,96
129,109,125
36,133,67
69,33,174
79,72,214
127,61,249
39,158,64
128,115,160
123,116,117
152,72,206
112,115,151
35,142,115
104,142,111
73,76,30
104,48,92
29,169,150
100,135,181
88,153,157
85,137,114
163,149,182
147,123,193
136,92,55
153,70,89
112,136,202
169,90,51
90,130,244
36,131,227
91,179,249
147,166,49
128,100,44
120,146,121
59,93,154
28,164,158
47,91,195
42,68,192
84,167,57
144,104,221
144,127,229
152,110,234
115,119,133
165,153,34
131,47,243
53,51,183
142,49,145
138,141,126
46,159,32
97,27,37
151,156,153
94,82,174
168,27,87
67,100,71
100,27,115
85,75,25
36,48,182
71,142,117
52,115,46
80,72,156
87,115,153
28,39,234
68,69,177
134,83,83
129,141,72
132,36,224
81,37,249
130,137,145
39,144,165
147,154,157
32,133,229
63,42,171
173,40,196
95,140,106
92,138,67
89,123,239
70,64,205
30,146,229
96,166,156
29,47,190
79,147,174
76,126,202
81,145,97
151,96,188
123,141,219
162,133,172
167,112,157
128,109,27
29,33,180
43,175,67
38,37,65
85,78,57
140,162,151
62,60,182
158,146,198
105,120,181
153,151,102
54,150,217
102,115,152
144,93,207
27,41,57
35,130,117
44,37,148
70,28,90
170,36,159
27,125,148
82,34,204
79,130,242
169,28,32
150,244,63
66,167,99
95,41,241
72,41,26
97,30,129
170,140,133
40,128,214
164,52,148
155,109,221
58,69,94
32,146,167
85,126,169
109,133,89
83,32,191
59,79,50
174,112,219
46,146,217
159,161,127
72,98,230
169,137,43
97,145,177
153,36,179
77,149,91
162,165,160
57,106,109
64,99,224
51,62,92
163,66,184
111,93,49
127,58,42
93,155,69
149,141,171
144,56,116
107,24,244
29,153,210
154,61,217
170,61,242
157,78,203
146,128,235
63,103,242
86,153,173
134,90,90
148,75,181
143,148,182
46,155,169
148,154,34
44,85,114
166,75,105
104,96,43
125,123,190
50,31,94
30,164,211
82,146,31
99,157,188
120,151,158
168,80,48
91,124,163
85,78,163
97,52,174
148,136,226
99,142,96
134,39,196
143,135,76
113,73,143
155,42,62
130,84,154
57,59,43
161,155,24
134,24,161
25,129,142
45,71,225
146,51,53
24,95,137
138,137,39
131,109,105
128,50,99
72,120,34
77,36,247
58,114,198
33,114,154
81,139,84
141,109,25
148,118,133
71,48,193
138,166,85
36,62,99
172,133,106
159,38,106
100,125,131
29,126,113
123,99,214
27,46,174
74,110,161
150,123,154
115,129,111
163,129,134
131,110,63
154,101,113
32,65,178
172,144,171
60,165,109
169,41,71
113,60,167
68,140,99
174,34,161
165,135,155
44,105,184
131,31,66
83,82,243
87,108,197
147,73,242
83,215,40
119,86,235
96,83,186
59,88,181
31,57,78
105,105,233
156,145,158
172,45,137
115,129,236
151,73,103
110,38,59
25,70,62
126,31,206
133,146,157
36,161,183
154,125,70
100,93,151
146,169,78
31,110,85
149,93,242
25,75,232
44,41,163
35,42,40
69,126,248
136,124,39
103,164,190
126,137,111
78,53,220
130,33,71
134,133,204
155,158,160
103,99,41
132,124,196
167,138,197
41,111,54
102,100,151
163,75,96
124,122,171
165,135,233
139,129,172
108,170,162
98,155,150
24,58,235
28,120,165
121,85,96
124,156,48
142,67,158
61,41,163
77,32,154
90,85,92
42,139,85
61,172,143
73,125,193
30,40,126
109,36,28
64,59,151
62,76,30
86,69,150
53,167,71
76,111,214
153,143,205
45,97,61
147,119,33
173,81,232
89,193,179
172,118,233
93,51,201
86,120,210
25,159,121
67,25,166
103,35,58
159,86,239
174,40,28
156,172,217
80,93,59
108,100,106
142,51,198
168,156,165
86,97,124
30,97,125
90,43,126
31,127,241
158,120,193
114,96,41
133,27,102
126,78,161
82,102,29
63,65,173
171,169,171
71,129,36
45,141,123
39,81,177
32,174,46
143,71,153
161,63,247
67,89,249
