MR-POMDP,SR-POMDP,Placebo
135,53,173
173,100,190
174,128,103
144,239,151
145,133,32
97,132,52
40,203,24
24,171,226
158,80,165
148,72,170
124,67,243
111,140,121
32,34,162
248,40,177
102,161,185
100,34,131
79,54,77
247,122,203
58,75,174
159,37,163
60,129,91
136,85,133
45,127,194
125,30,81
170,189,151
145,83,120
42,84,65
174,144,243
81,83,193
95,24,163
73,148,158
46,163,164
85,53,236
173,125,235
143,65,179
115,106,228
52,33,46
31,197,123
86,86,121
121,118,233
78,138,143
65,133,132
167,90,158
79,166,153
156,124,158
130,75,155
115,160,232
98,121,196
156,147,153
123,158,248
101,128,110
117,113,117
187,99,196
87,170,246
74,155,127
40,75,44
122,61,50
62,126,124
236,92,163
58,30,148
104,130,162
156,145,158
199,82,241
32,81,41
33,34,96
145,38,240
60,130,241
55,106,233
173,82,37
31,247,204
168,44,152
70,118,32
32,72,108
134,215,62
159,139,184
73,66,201
112,100,191
43,150,152
212,65,223
92,161,125
51,166,154
72,46,222
174,102,145
36,138,132
86,184,45
102,93,194
140,90,105
169,36,56
25,100,172
145,159,243
112,156,249
142,44,170
63,120,55
151,29,153
105,234,24
159,96,160
180,44,201
102,33,219
63,152,64
153,31,196
124,90,204
130,167,82
51,30,90
228,96,215
158,133,170
124,141,158
48,170,154
27,144,160
70,68,114
148,34,198
104,58,237
34,69,204
175,34,150
104,88,178
90,116,234
37,51,34
107,231,38
165,156,213
176,105,220
128,95,146
46,244,231
135,92,136
125,152,150
119,94,161
195,63,68
100,138,201
28,130,98
44,161,86
60,125,240
117,71,97
130,152,152
184,63,128
37,161,96
141,92,222
139,37,167
105,146,164
47,135,73
152,109,212
86,150,173
41,91,57
43,132,154
152,48,64
108,167,189
127,89,143
200,128,232
161,64,136
134,172,175
27,44,187
162,72,174
125,74,168
132,105,166
248,75,167
104,225,168
31,68,216
141,100,67
157,43,54
166,222,90
56,112,248
149,30,237
170,225,247
114,96,243
107,71,92
155,115,131
161,147,41
75,228,112
174,120,85
157,130,179
138,138,160
132,88,213
122,72,181
136,151,193
117,101,223
41,76,135
223,201,47
147,63,108
67,107,65
58,47,103
140,75,99
84,98,247
164,43,73
45,147,177
147,24,154
35,36,192
116,28,33
85,42,123
192,71,234
155,127,187
95,105,87
104,49,213
36,236,197
160,26,102
35,145,220
112,96,69
144,54,73
68,29,176
139,107,204
41,60,38
41,227,137
128,31,152
90,34,110
87,116,29
125,155,140
59,191,97
65,95,202
105,140,219
166,133,147
115,212,169
157,144,123
190,39,222
90,154,191
147,158,141
86,40,170
73,57,191
53,156,201
51,78,194
125,28,181
48,50,192
24,153,98
122,128,186
129,71,163
54,54,245
114,110,164
152,25,131
46,110,219
84,165,208
158,209,215
153,167,191
121,31,211
61,102,223
156,79,76
102,195,54
71,41,126
204,83,46
62,115,215
53,99,175
72,156,128
68,160,236
39,41,104
