MR-POMDP,SR-POMDP,Placebo
4050,1484,4844
3633,2400,4940
4350,2816,2678
3168,6931,4530
3335,2660,672
2425,3828,1248
1120,5887,648
576,4275,4972
4108,1840,4785
3404,1800,3570
2976,1608,5832
2331,3920,2541
928,816,4050
6696,960,5310
2856,4347,5550
2000,748,3013
1975,1350,1617
7163,3416,5075
1624,1500,5220
4293,851,3749
1680,3483,1911
3808,1955,3591
1350,2921,5238
2875,840,2430
3740,5292,4379
3915,1909,3360
1218,1680,1690
3828,4320,6561
2106,2407,3860
2850,552,3586
1752,3108,3318
1058,3586,4100
2040,1325,7080
3806,3125,4700
4147,1690,3938
3220,2438,4560
1352,759,1058
744,4137,3444
1892,2580,3146
3267,3186,6990
1794,2760,4147
1495,3059,2904
5010,2070,3318
1975,3984,3825
3276,2852,4424
3250,2100,3100
2415,4160,6960
2254,3025,4508
3276,3087,3213
3198,4108,4960
2323,3584,2200
2808,2825,3393
4675,2970,4312
2001,4250,5412
1924,4495,3556
1160,2025,968
2684,1708,1500
1674,3024,2480
4956,2576,4890
1160,750,3256
2184,3510,3402
3744,3915,3634
4577,2050,6748
864,1782,1025
693,816,2112
2900,1026,6480
1680,2600,5543
1375,2544,6524
3633,1886,1036
930,6916,5916
4200,1320,4104
1680,2832,960
736,2088,2592
4020,6235,1426
3975,2780,5336
1460,1782,5628
2352,2300,5539
1075,3300,4408
4240,1755,6690
1932,3542,3375
1428,4150,3388
1512,1242,5328
3654,2142,4350
1080,3726,2640
2236,4784,1260
2142,2418,4462
3360,1800,2205
3380,1044,1344
650,2000,3956
3915,4134,5346
3024,4368,6225
3124,968,3570
1386,2520,1595
3775,638,4590
2205,6084,624
4452,2592,4800
3960,1144,5025
2448,957,4818
1323,4408,1472
3366,930,4312
3348,2250,4080
2600,3674,2050
1173,630,1980
6384,2496,5590
3950,2660,4930
3596,3384,4108
1440,3400,3080
648,3744,4320
1470,1564,2508
4292,952,4158
2808,1218,4740
816,1725,4692
3675,1020,4050
