MR-POMDP,SR-POMDP,Placebo
6382.734283,6673.983087,4956.832624
3425,3696,4663.606657
1653,2726,2180
1932,2132,1118
756,3600,1128
1500,812,4212
4420,3024,3496
1508,4100,2002
2400,1239,4293
1122,2507,1311
3886,2146,7403.041232
2001,1725,2928
4830,3726,6508.462067
759,4495,728
4536,2106,4644.630263
1357,903,2392
3161,2093,2116
648,3912,6033.900452
3124,1794,4236.490462
1520,2948,1232
3870,2464,6513.442665
4590,3630,6629.068344
4860,3507,2079
2156,960,5828.766038
3640,1250,2480
4200,1638,5326.915813
720,4396,4561.360208
1971,3840,5159.403252
3040,3280,5443.700277
2877,1131,3051
3402,1014,3640
2961,1260,4582
588,2652,2079
3942,2673,7212.88817
2496,1196,2625
840,2220,2860
1491,1365,936
2324,2475,5640.930689
3322,2583,1825
3444,1968,6843.62766
1675,3220,6066.507669
3325,840,4425.168216
3360,4368,1298
638,1458,6100.748724
2712,2520,1440
3608,3666,1496
1940,1980,3496
2448,2575,1856
1647,3507,700
2967,3794.387057,5002.314613
3772,903,3576
1421,1775,1222
2275,1863,1776
4446,1026,3904.044649
4930,1480,3864
504,2940,3625
2507,1608,3849.997663
1533,2020,4525.134126
3360,2736,2600
2080,2187,858
1232,644,5074.937984
1188,2025,4436.534408
1708,2254,4544.688275
2625,1300,2996
3289,2125,4983.348312
1080,2944,6698.054263
850,1624,5273.62699
2280,3380,5256.534877
2948,4108,3643.692507
3480,3240,1464
4350,1407,6175.691129
899,1620,3564
3050,1197,5560.82895
1540,3388,1943
2875,1260,1827
2002,2430,6192.008573
3712,925,2460
3074,2976,2940
2320,3600,6054.021138
2877,3000,3050
4350,650,1197
2987,1680,1975
3304,3240,3750
2200,1247,5199.232873
1892,2323,682
3248,1500,2100
4524,3612,1220
1288,2967,4666.59968
2880,782,7417.752196
3260,2075,2574
3270,648,7223.281624
2486,2574,5090.368718
3288,2728,1740
3926,5989.294058,4651.721425
2772,828,3600
816,2925,5421.715351
1680,2059,1722
2407,3600,6193.946425
1750,2233,810
2750,1944,3468.298938
2604,644,880
884,3192,5040
2737,3825,4797.298925
2392,3168,1440
3360,3950,4632.654154
4150,1404,4592
3900,3848,3645
580,1740,2310
2964,1500,4444.182015
700,2997,5817.269621
3380,3915,4209.581202
3348,1296,4316
928,4325,5365.510157
2507,2562,5016.739992
2576,3393,6769.81457
3600,1300,3755.275862
1107,2610,1792
975,3550,5025.410266
1470,2072,2856
3375,4186,7236.755444
2116,2820,1140
3762,1525,3477.482724
2352,4756,6993.341872
784,3200,6335.419168
4482,3120,3894.412876
2625,1890,2740
4732,1012,6662.99832
1131,1150,5342.992008
1898,3400,3753
2813,2727,2106
1150,2352,4298.471756
2970,2910,1817
3509,2760,3840
2900,2660,2496
616,1170,2860
5040,2024,3952.797993
3052,2100,4054.449437
1988,3240,3840
1296,3976,3570
2349,2508,2262
1562,858,3936
768,2900,3030
1386,1794,5468.330037
