MR-POMDP,SR-POMDP,Placebo
2897.792233,4332.011504,2679.881179
1918,2856,2522.207167
969,1598,1199
1428,820,688
648,2700,470
660,580,1716
2380,2160,1672
754,2460,910
1440,944,2226
918,2071,627
2680,1258,4071.744236
828,1242,1830
2254,2106,3145.63231
594,1550,520
1620,780,3191.756292
885,602,1560
1744,910,1380
432,1956,4231.72909
2130,966,2919.719644
988,1608,784
1419,1408,4109.686498
2550,2640,2793.913149
2268,2839,1980
1960,912,4527.947311
2520,750,1984
2520,1071,3303.044101
468,2512,2950.316266
1314,2240,2027.892849
2584,1968,3959.007325
2466,663,1808
2142,546,2340
1410,819,2528
532,1530,924
2336,1683,3362.882316
1728,572,1050
462,1332,1573
994,715,612
830,990,4281.08009
1661,1476,1460
2214,1066,2569.726669
804,1380,3889.3401
2394,350,2733.023883
1904,2340,649
464,756,4826.782527
1921,1512,864
1804,2115,952
1649,1683,2280
2040,1648,1216
1159,2338,476
1548,2081.404922,3540.263034
2296,731,2235
686,1065,846
1183,1380,1036
3420,722,2514.520265
1870,1110,3360
360,1960,1500
1744,1005,2131.167379
803,1414,2210.5832
2660,1938,1500
1872,1539,660
792,532,3211.882321
540,972,3499.429477
915,1568,4068.94396
2500,936,1926
2002,1275,2234.436291
684,2432,2762.393805
374,638,2383.706224
1140,1690,3555.331931
2412,2686,1909.237531
1740,1320,1220
2088,1273,5102.884735
496,918,1584
2318,1083,2710.888677
770,1573,1340
1380,840,870
1463,1296,4770.859416
2176,407,1066
1272,1240,2205
2088,2550,2804.370923
2329,2125,2074
2850,312,1026
1854,1512,1027
1770,2916,2100
1320,645,2754.734233
1204,1111,496
2204,600,1700
3120,1290,915
782,2064,4194.743924
1536,680,3318.722471
3097,1328,1980
1417,408,3721.240628
2147,1755,1920.356001
2055,2232,1218
2567,5117.252336,2407.970098
1260,684,1800
680,2340,3603.24226
1200,1136,1640
1245,1200,2160.6615
840,1540,270
1650,1458,2972.397309
2480,560,660
442,2166,2688
2261,3060,4107.447302
1656,2640,912
1456,1580,2126.055853
2656,648,1968
1560,2664,2565
406,1044,2090
2280,750,3719.777741
275,1110,4324.776957
2873,2430,3154.303556
1984,972,2490
448,2768,4658.350251
2071,2318,2447.950437
1288,1872,3310.228325
2550,884,2843.948835
615,1305,768
429,1846,2096.390771
735,1480,2261
2565,1932,5232.158638
1564,1692,760
1881,915,2232.666998
924,2952,4863.848903
532,1920,3873.584261
2490,1680,2950.693355
2250,756,1918
3211,690,4225.053883
624,598,2731.09568
949,2720,1807
1067,1010,810
782,1120,2344.007362
1782,1940,1580
1936,1955,1664
1595,1805,1728
308,546,1430
2856,1564,3925.176177
1853,1330,3413.947944
994,2040,1408
540,1562,2720
1044,1596,1014
994,507,1640
608,1200,1515
